LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,Location 1
161201,FRANKLIN,SALMON RIVER CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2012-2013,82,22.6%,80,22%,162,44.6%,ELEMENTARY,SCHOOL DISTRICT,637 COUNTY RT 1,FORT COVINGTON,NY,12937,"637 COUNTY RT 1
FORT COVINGTON, NY 12937
(44.96068658700045, -74.51846000099965)"
161201,FRANKLIN,SALMON RIVER CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2012-2013,42,24.1%,50,28.7%,92,52.9%,MIDDLE/HIGH,SCHOOL DISTRICT,637 COUNTY RT 1,FORT COVINGTON,NY,12937,"637 COUNTY RT 1
FORT COVINGTON, NY 12937
(44.96068658700045, -74.51846000099965)"
161601,FRANKLIN,BRUSHTON-MOIRA CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2012-2013,58,19%,80,26.2%,138,45.2%,DISTRICT TOTAL,SCHOOL DISTRICT,758 COUNTY RT 7,BRUSHTON,NY,12916,"758 COUNTY RT 7
BRUSHTON, NY 12916
(44.8248045900005, -74.52111693299963)"
161601,FRANKLIN,BRUSHTON-MOIRA CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2012-2013,35,18.8%,44,23.7%,79,42.5%,ELEMENTARY,SCHOOL DISTRICT,758 COUNTY RT 7,BRUSHTON,NY,12916,"758 COUNTY RT 7
BRUSHTON, NY 12916
(44.8248045900005, -74.52111693299963)"
161601,FRANKLIN,BRUSHTON-MOIRA CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2012-2013,23,19.5%,36,30.5%,59,50%,MIDDLE/HIGH,SCHOOL DISTRICT,758 COUNTY RT 7,BRUSHTON,NY,12916,"758 COUNTY RT 7
BRUSHTON, NY 12916
(44.8248045900005, -74.52111693299963)"
170600,FULTON,JOHNSTOWN CITY SCHOOLS,NORTHEASTERN NEW YORK,2012-2013,45,14.7%,50,16.3%,95,31%,DISTRICT TOTAL,SCHOOL DISTRICT,1 SIR BILLS CIRCLE-STE 101,JOHNSTOWN,NY,12095,"1 SIR BILLS CIRCLE-STE 101
JOHNSTOWN, NY 12095
(43.01434845600045, -74.38171586099963)"
170600,FULTON,JOHNSTOWN CITY SCHOOLS,NORTHEASTERN NEW YORK,2012-2013,29,15.1%,28,14.6%,57,29.7%,ELEMENTARY,SCHOOL DISTRICT,1 SIR BILLS CIRCLE-STE 101,JOHNSTOWN,NY,12095,"1 SIR BILLS CIRCLE-STE 101
JOHNSTOWN, NY 12095
(43.01434845600045, -74.38171586099963)"
170600,FULTON,JOHNSTOWN CITY SCHOOLS,NORTHEASTERN NEW YORK,2012-2013,26,22.2%,22,18.8%,48,41%,MIDDLE/HIGH,SCHOOL DISTRICT,1 SIR BILLS CIRCLE-STE 101,JOHNSTOWN,NY,12095,"1 SIR BILLS CIRCLE-STE 101
JOHNSTOWN, NY 12095
(43.01434845600045, -74.38171586099963)"
170901,FULTON,NORTHVILLE CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2012-2013,29,21.8%,24,18%,53,39.8%,DISTRICT TOTAL,SCHOOL DISTRICT,131 S 3RD ST,NORTHVILLE,NY,12134,"131 S 3RD ST
NORTHVILLE, NY 12134
(43.22538473500049, -74.17576257699966)"
170901,FULTON,NORTHVILLE CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2012-2013,12,16.2%,8,10.8%,20,27%,ELEMENTARY,SCHOOL DISTRICT,131 S 3RD ST,NORTHVILLE,NY,12134,"131 S 3RD ST
NORTHVILLE, NY 12134
(43.22538473500049, -74.17576257699966)"
170901,FULTON,NORTHVILLE CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2012-2013,14,43.8%,,,14,43.8%,MIDDLE/HIGH,SCHOOL DISTRICT,131 S 3RD ST,NORTHVILLE,NY,12134,"131 S 3RD ST
NORTHVILLE, NY 12134
(43.22538473500049, -74.17576257699966)"
171102,FULTON,BROADALBIN-PERTH CENTRAL SCHOOLS,NORTHEASTERN NEW YORK,2012-2013,77,15.9%,92,19%,169,34.9%,DISTRICT TOTAL,SCHOOL DISTRICT,20 PINE ST,BROADALBIN,NY,12025,"20 PINE ST
BROADALBIN, NY 12025
(43.05757952100049, -74.18760555399967)"
171102,FULTON,BROADALBIN-PERTH CENTRAL SCHOOLS,NORTHEASTERN NEW YORK,2012-2013,49,17.1%,56,19.6%,105,36.7%,ELEMENTARY,SCHOOL DISTRICT,20 PINE ST,BROADALBIN,NY,12025,"20 PINE ST
BROADALBIN, NY 12025
(43.05757952100049, -74.18760555399967)"
171102,FULTON,BROADALBIN-PERTH CENTRAL SCHOOLS,NORTHEASTERN NEW YORK,2012-2013,28,14.1%,36,18.2%,64,32.3%,MIDDLE/HIGH,SCHOOL DISTRICT,20 PINE ST,BROADALBIN,NY,12025,"20 PINE ST
BROADALBIN, NY 12025
(43.05757952100049, -74.18760555399967)"
180300,GENESEE,BATAVIA CITY SCHOOLS,WESTERN NEW YORK,2012-2013,189,19%,164,16.4%,353,35.4%,DISTRICT TOTAL,SCHOOL DISTRICT,39 WASHINGTON AVE,BATAVIA,NY,14021,"39 WASHINGTON AVE
BATAVIA, NY 14021
(43.00076785700048, -78.18537926499965)"
180300,GENESEE,BATAVIA CITY SCHOOLS,WESTERN NEW YORK,2012-2013,127,20.1%,100,15.8%,227,35.9%,ELEMENTARY,SCHOOL DISTRICT,39 WASHINGTON AVE,BATAVIA,NY,14021,"39 WASHINGTON AVE
BATAVIA, NY 14021
(43.00076785700048, -78.18537926499965)"
180300,GENESEE,BATAVIA CITY SCHOOLS,WESTERN NEW YORK,2012-2013,62,17%,64,17.5%,126,34.5%,MIDDLE/HIGH,SCHOOL DISTRICT,39 WASHINGTON AVE,BATAVIA,NY,14021,"39 WASHINGTON AVE
BATAVIA, NY 14021
(43.00076785700048, -78.18537926499965)"
180901,GENESEE,ELBA CENTRAL SCHOOL,WESTERN NEW YORK,2012-2013,32,21.1%,32,21.1%,64,42.1%,DISTRICT TOTAL,SCHOOL DISTRICT,57 S MAIN ST,ELBA,NY,14058,"57 S MAIN ST
ELBA, NY 14058
(43.07449458400049, -78.18774744099966)"
180901,GENESEE,ELBA CENTRAL SCHOOL,WESTERN NEW YORK,2012-2013,20,21.7%,16,17.4%,36,39.1%,ELEMENTARY,SCHOOL DISTRICT,57 S MAIN ST,ELBA,NY,14058,"57 S MAIN ST
ELBA, NY 14058
(43.07449458400049, -78.18774744099966)"
180901,GENESEE,ELBA CENTRAL SCHOOL,WESTERN NEW YORK,2012-2013,12,20%,16,26.7%,28,46.7%,MIDDLE/HIGH,SCHOOL DISTRICT,57 S MAIN ST,ELBA,NY,14058,"57 S MAIN ST
ELBA, NY 14058
(43.07449458400049, -78.18774744099966)"
181101,GENESEE,OAKFIELD ALABAMA CENTRAL SCHOOL,WESTERN NEW YORK,2012-2013,55,17.1%,67,20.8%,122,37.9%,DISTRICT TOTAL,SCHOOL DISTRICT,7001 LEWISTON RD,OAKFIELD,NY,14125,"7001 LEWISTON RD
OAKFIELD, NY 14125
(43.07357391000045, -78.28036439699963)"
181101,GENESEE,OAKFIELD ALABAMA CENTRAL SCHOOL,WESTERN NEW YORK,2012-2013,31,15.7%,38,19.2%,69,34.8%,ELEMENTARY,SCHOOL DISTRICT,7001 LEWISTON RD,OAKFIELD,NY,14125,"7001 LEWISTON RD
OAKFIELD, NY 14125
(43.07357391000045, -78.28036439699963)"
181101,GENESEE,OAKFIELD ALABAMA CENTRAL SCHOOL,WESTERN NEW YORK,2012-2013,24,20.3%,29,24.6%,53,44.9%,MIDDLE/HIGH,SCHOOL DISTRICT,7001 LEWISTON RD,OAKFIELD,NY,14125,"7001 LEWISTON RD
OAKFIELD, NY 14125
(43.07357391000045, -78.28036439699963)"
181201,GENESEE,PAVILION CENTRAL SCHOOL,WESTERN NEW YORK,2012-2013,40,14%,65,22.7%,105,36.7%,DISTRICT TOTAL,SCHOOL DISTRICT,7014 BIG TREE RD,PAVILION,NY,14525,"7014 BIG TREE RD
PAVILION, NY 14525
(42.87318519000047, -78.01885864899964)"
181201,GENESEE,PAVILION CENTRAL SCHOOL,WESTERN NEW YORK,2012-2013,23,16.2%,30,21.1%,53,37.3%,ELEMENTARY,SCHOOL DISTRICT,7014 BIG TREE RD,PAVILION,NY,14525,"7014 BIG TREE RD
PAVILION, NY 14525
(42.87318519000047, -78.01885864899964)"
181201,GENESEE,PAVILION CENTRAL SCHOOL,WESTERN NEW YORK,2012-2013,13,10%,35,26.9%,48,36.9%,MIDDLE/HIGH,SCHOOL DISTRICT,7014 BIG TREE RD,PAVILION,NY,14525,"7014 BIG TREE RD
PAVILION, NY 14525
(42.87318519000047, -78.01885864899964)"
190301,GREENE,CAIRO-DURHAM CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2012-2013,65,17.2%,88,23.2%,153,40.4%,DISTRICT TOTAL,SCHOOL DISTRICT,424 MAIN ST,CAIRO,NY,12413,"424 MAIN ST
CAIRO, NY 12413
(42.297803667000494, -73.99645125499967)"
190301,GREENE,CAIRO-DURHAM CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2012-2013,43,17.6%,53,21.7%,96,39.3%,ELEMENTARY,SCHOOL DISTRICT,424 MAIN ST,CAIRO,NY,12413,"424 MAIN ST
CAIRO, NY 12413
(42.297803667000494, -73.99645125499967)"
190301,GREENE,CAIRO-DURHAM CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2012-2013,27,16.2%,47,28.1%,74,44.3%,MIDDLE/HIGH,SCHOOL DISTRICT,424 MAIN ST,CAIRO,NY,12413,"424 MAIN ST
CAIRO, NY 12413
(42.297803667000494, -73.99645125499967)"
190501,GREENE,COXSACKIE- ATHENS C S,NORTHEASTERN NEW YORK,2012-2013,81,15.2%,118,22.1%,199,37.3%,DISTRICT TOTAL,SCHOOL DISTRICT,24 SUNSET BLVD,COXSACKIE,NY,12051,"24 SUNSET BLVD
COXSACKIE, NY 12051
(42.35096253800049, -73.80622932999967)"
190501,GREENE,COXSACKIE- ATHENS C S,NORTHEASTERN NEW YORK,2012-2013,46,14%,73,22.2%,119,36.2%,ELEMENTARY,SCHOOL DISTRICT,24 SUNSET BLVD,COXSACKIE,NY,12051,"24 SUNSET BLVD
COXSACKIE, NY 12051
(42.35096253800049, -73.80622932999967)"
190501,GREENE,COXSACKIE- ATHENS C S,NORTHEASTERN NEW YORK,2012-2013,35,17.9%,45,23.1%,80,41%,MIDDLE/HIGH,SCHOOL DISTRICT,24 SUNSET BLVD,COXSACKIE,NY,12051,"24 SUNSET BLVD
COXSACKIE, NY 12051
(42.35096253800049, -73.80622932999967)"
191401,GREENE,WINDHAM-ASHLAND CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2012-2013,19,16.4%,10,8.6%,29,25%,DISTRICT TOTAL,SCHOOL DISTRICT,5411 STATE RT 23,WINDHAM,NY,12496,"5411 STATE RT 23
WINDHAM, NY 12496
(42.3073226350005, -74.25403362499964)"
191401,GREENE,WINDHAM-ASHLAND CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2012-2013,11,18.3%,,,11,18.3%,ELEMENTARY,SCHOOL DISTRICT,5411 STATE RT 23,WINDHAM,NY,12496,"5411 STATE RT 23
WINDHAM, NY 12496
(42.3073226350005, -74.25403362499964)"
191401,GREENE,WINDHAM-ASHLAND CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2012-2013,6,13.6%,,,6,13.6%,MIDDLE/HIGH,SCHOOL DISTRICT,5411 STATE RT 23,WINDHAM,NY,12496,"5411 STATE RT 23
WINDHAM, NY 12496
(42.3073226350005, -74.25403362499964)"
200401,HAMILTON,INDIAN LAKE CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2012-2013,6,16.7%,11,30.6%,17,47.2%,DISTRICT TOTAL,SCHOOL DISTRICT,6345 NYS RT 30,INDIAN LAKE,NY,12842,"6345 NYS RT 30
INDIAN LAKE, NY 12842
(43.7826524190005, -74.27038450399965)"
200401,HAMILTON,INDIAN LAKE CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2012-2013,,,5,100%,5,100%,ELEMENTARY,SCHOOL DISTRICT,6345 NYS RT 30,INDIAN LAKE,NY,12842,"6345 NYS RT 30
INDIAN LAKE, NY 12842
(43.7826524190005, -74.27038450399965)"
200401,HAMILTON,INDIAN LAKE CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2012-2013,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,6345 NYS RT 30,INDIAN LAKE,NY,12842,"6345 NYS RT 30
INDIAN LAKE, NY 12842
(43.7826524190005, -74.27038450399965)"
200601,HAMILTON,LAKE PLEASANT CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2012-2013,19,23.2%,13,15.9%,32,39%,DISTRICT TOTAL,SCHOOL DISTRICT,120 ELM LAKE RD,SPECULATOR,NY,12164,"120 ELM LAKE RD
SPECULATOR, NY 12164
(43.50298555600045, -74.36304063599965)"
200601,HAMILTON,LAKE PLEASANT CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2012-2013,7,38.9%,,,7,38.9%,ELEMENTARY,SCHOOL DISTRICT,120 ELM LAKE RD,SPECULATOR,NY,12164,"120 ELM LAKE RD
SPECULATOR, NY 12164
(43.50298555600045, -74.36304063599965)"
200601,HAMILTON,LAKE PLEASANT CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2012-2013,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,120 ELM LAKE RD,SPECULATOR,NY,12164,"120 ELM LAKE RD
SPECULATOR, NY 12164
(43.50298555600045, -74.36304063599965)"
210302,HERKIMER,WEST CANADA VALLEY CENT SCH,CENTRAL NEW YORK,2012-2013,50,15.4%,39,12%,89,27.4%,DISTRICT TOTAL,SCHOOL DISTRICT,5447 STATE RT 28,NEWPORT,NY,13416,"5447 STATE RT 28
NEWPORT, NY 13416
(43.16372152600047, -74.99931797999966)"
210302,HERKIMER,WEST CANADA VALLEY CENT SCH,CENTRAL NEW YORK,2012-2013,32,15.9%,18,9%,50,24.9%,ELEMENTARY,SCHOOL DISTRICT,5447 STATE RT 28,NEWPORT,NY,13416,"5447 STATE RT 28
NEWPORT, NY 13416
(43.16372152600047, -74.99931797999966)"
210302,HERKIMER,WEST CANADA VALLEY CENT SCH,CENTRAL NEW YORK,2012-2013,24,18.9%,21,16.5%,45,35.4%,MIDDLE/HIGH,SCHOOL DISTRICT,5447 STATE RT 28,NEWPORT,NY,13416,"5447 STATE RT 28
NEWPORT, NY 13416
(43.16372152600047, -74.99931797999966)"
210501,HERKIMER,ILION CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,131,21.9%,104,17.4%,235,39.2%,DISTRICT TOTAL,SCHOOL DISTRICT,1 GOLDEN BOMBER DR,ILION,NY,13357,"1 GOLDEN BOMBER DR
ILION, NY 13357
(43.0052595570005, -75.03949991099967)"
210501,HERKIMER,ILION CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,68,18%,74,19.6%,142,37.6%,ELEMENTARY,SCHOOL DISTRICT,1 GOLDEN BOMBER DR,ILION,NY,13357,"1 GOLDEN BOMBER DR
ILION, NY 13357
(43.0052595570005, -75.03949991099967)"
210501,HERKIMER,ILION CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,63,28.9%,30,13.8%,93,42.7%,MIDDLE/HIGH,SCHOOL DISTRICT,1 GOLDEN BOMBER DR,ILION,NY,13357,"1 GOLDEN BOMBER DR
ILION, NY 13357
(43.0052595570005, -75.03949991099967)"
210800,HERKIMER,LITTLE FALLS CITY SCHOOLS,CENTRAL NEW YORK,2012-2013,79,20.1%,90,22.9%,169,43%,DISTRICT TOTAL,SCHOOL DISTRICT,15 PETRIE ST,LITTLE FALLS,NY,13365,"15 PETRIE ST
LITTLE FALLS, NY 13365
(43.044384084000455, -74.85151465599967)"
210800,HERKIMER,LITTLE FALLS CITY SCHOOLS,CENTRAL NEW YORK,2012-2013,51,22.6%,48,21.2%,99,43.8%,ELEMENTARY,SCHOOL DISTRICT,15 PETRIE ST,LITTLE FALLS,NY,13365,"15 PETRIE ST
LITTLE FALLS, NY 13365
(43.044384084000455, -74.85151465599967)"
210800,HERKIMER,LITTLE FALLS CITY SCHOOLS,CENTRAL NEW YORK,2012-2013,28,16.8%,42,25.1%,70,41.9%,MIDDLE/HIGH,SCHOOL DISTRICT,15 PETRIE ST,LITTLE FALLS,NY,13365,"15 PETRIE ST
LITTLE FALLS, NY 13365
(43.044384084000455, -74.85151465599967)"
211003,HERKIMER,DOLGEVILLE CTR,CENTRAL NEW YORK,2012-2013,53,17.1%,73,23.5%,126,40.6%,DISTRICT TOTAL,SCHOOL DISTRICT,38 SLAWSON ST,DOLGEVILLE,NY,13329,"38 SLAWSON ST
DOLGEVILLE, NY 13329
(43.1020063520005, -74.77590266699963)"
211003,HERKIMER,DOLGEVILLE CTR,CENTRAL NEW YORK,2012-2013,30,15.8%,42,22.1%,72,37.9%,ELEMENTARY,SCHOOL DISTRICT,38 SLAWSON ST,DOLGEVILLE,NY,13329,"38 SLAWSON ST
DOLGEVILLE, NY 13329
(43.1020063520005, -74.77590266699963)"
211003,HERKIMER,DOLGEVILLE CTR,CENTRAL NEW YORK,2012-2013,23,20%,31,27%,54,47%,MIDDLE/HIGH,SCHOOL DISTRICT,38 SLAWSON ST,DOLGEVILLE,NY,13329,"38 SLAWSON ST
DOLGEVILLE, NY 13329
(43.1020063520005, -74.77590266699963)"
211103,HERKIMER,POLAND CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,20,21.7%,18,19.6%,38,41.3%,DISTRICT TOTAL,SCHOOL DISTRICT,74 COLD BROOK ST,POLAND,NY,13431,"74 COLD BROOK ST
POLAND, NY 13431
(43.22896732300046, -75.05801962599963)"
211103,HERKIMER,POLAND CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,7,15.2%,12,26.1%,19,41.3%,ELEMENTARY,SCHOOL DISTRICT,74 COLD BROOK ST,POLAND,NY,13431,"74 COLD BROOK ST
POLAND, NY 13431
(43.22896732300046, -75.05801962599963)"
211103,HERKIMER,POLAND CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,6,18.8%,5,15.6%,11,34.4%,MIDDLE/HIGH,SCHOOL DISTRICT,74 COLD BROOK ST,POLAND,NY,13431,"74 COLD BROOK ST
POLAND, NY 13431
(43.22896732300046, -75.05801962599963)"
220101,JEFFERSON,SOUTH JEFFERSON CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,121,18.1%,139,20.8%,260,38.9%,DISTRICT TOTAL,SCHOOL DISTRICT,13180 US RT 11,ADAMS CENTER,NY,13606,"13180 US RT 11
ADAMS CENTER, NY 13606
(43.85926766300048, -76.00615964199966)"
220101,JEFFERSON,SOUTH JEFFERSON CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,70,17.3%,82,20.3%,152,37.6%,ELEMENTARY,SCHOOL DISTRICT,13180 US RT 11,ADAMS CENTER,NY,13606,"13180 US RT 11
ADAMS CENTER, NY 13606
(43.85926766300048, -76.00615964199966)"
220101,JEFFERSON,SOUTH JEFFERSON CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,51,19.5%,57,21.8%,108,41.4%,MIDDLE/HIGH,SCHOOL DISTRICT,13180 US RT 11,ADAMS CENTER,NY,13606,"13180 US RT 11
ADAMS CENTER, NY 13606
(43.85926766300048, -76.00615964199966)"
220202,JEFFERSON,ALEXANDRIA CENTRAL ELEM. & HIGH SCHO,CENTRAL NEW YORK,2012-2013,39,19.3%,43,21.3%,82,40.6%,DISTRICT TOTAL,SCHOOL DISTRICT,34 BOLTON AVE,ALEXANDRIA BAY,NY,13607,"34 BOLTON AVE
ALEXANDRIA BAY, NY 13607
(44.33602654200047, -75.91077980899968)"
220202,JEFFERSON,ALEXANDRIA CENTRAL ELEM. & HIGH SCHO,CENTRAL NEW YORK,2012-2013,29,21.2%,28,20.4%,57,41.6%,ELEMENTARY,SCHOOL DISTRICT,34 BOLTON AVE,ALEXANDRIA BAY,NY,13607,"34 BOLTON AVE
ALEXANDRIA BAY, NY 13607
(44.33602654200047, -75.91077980899968)"
220202,JEFFERSON,ALEXANDRIA CENTRAL ELEM. & HIGH SCHO,CENTRAL NEW YORK,2012-2013,7,11.3%,15,24.2%,22,35.5%,MIDDLE/HIGH,SCHOOL DISTRICT,34 BOLTON AVE,ALEXANDRIA BAY,NY,13607,"34 BOLTON AVE
ALEXANDRIA BAY, NY 13607
(44.33602654200047, -75.91077980899968)"
220301,JEFFERSON,INDIAN RIVER CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,286,17.4%,258,15.7%,544,33.1%,DISTRICT TOTAL,SCHOOL DISTRICT,32735-B COUNTY RT 29,PHILADELPHIA,NY,13673,"32735-B COUNTY RT 29
PHILADELPHIA, NY 13673
(44.14187731900046, -75.71050035599967)"
220301,JEFFERSON,INDIAN RIVER CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,197,16.9%,187,16%,384,32.9%,ELEMENTARY,SCHOOL DISTRICT,32735-B COUNTY RT 29,PHILADELPHIA,NY,13673,"32735-B COUNTY RT 29
PHILADELPHIA, NY 13673
(44.14187731900046, -75.71050035599967)"
220301,JEFFERSON,INDIAN RIVER CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,89,18.5%,71,14.8%,160,33.3%,MIDDLE/HIGH,SCHOOL DISTRICT,32735-B COUNTY RT 29,PHILADELPHIA,NY,13673,"32735-B COUNTY RT 29
PHILADELPHIA, NY 13673
(44.14187731900046, -75.71050035599967)"
220701,JEFFERSON,THOUSAND ISLANDS CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,68,19.4%,56,16%,124,35.3%,DISTRICT TOTAL,SCHOOL DISTRICT,8483 COUNTY RT 9,CLAYTON,NY,13624,"8483 COUNTY RT 9
CLAYTON, NY 13624
(44.19176748600046, -76.20034238499966)"
220701,JEFFERSON,THOUSAND ISLANDS CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,43,21.8%,33,16.8%,76,38.6%,ELEMENTARY,SCHOOL DISTRICT,8483 COUNTY RT 9,CLAYTON,NY,13624,"8483 COUNTY RT 9
CLAYTON, NY 13624
(44.19176748600046, -76.20034238499966)"
220701,JEFFERSON,THOUSAND ISLANDS CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,25,16.2%,23,14.9%,48,31.2%,MIDDLE/HIGH,SCHOOL DISTRICT,8483 COUNTY RT 9,CLAYTON,NY,13624,"8483 COUNTY RT 9
CLAYTON, NY 13624
(44.19176748600046, -76.20034238499966)"
222201,JEFFERSON,CARTHAGE CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,176,20.2%,197,22.6%,373,42.8%,DISTRICT TOTAL,SCHOOL DISTRICT,25059 WOOLWORTH ST,CARTHAGE,NY,13619,"25059 WOOLWORTH ST
CARTHAGE, NY 13619
(43.977957706000495, -75.61837829199965)"
222201,JEFFERSON,CARTHAGE CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,115,20.1%,121,21.1%,236,41.2%,ELEMENTARY,SCHOOL DISTRICT,25059 WOOLWORTH ST,CARTHAGE,NY,13619,"25059 WOOLWORTH ST
CARTHAGE, NY 13619
(43.977957706000495, -75.61837829199965)"
222201,JEFFERSON,CARTHAGE CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,61,20.2%,70,23.2%,131,43.4%,MIDDLE/HIGH,SCHOOL DISTRICT,25059 WOOLWORTH ST,CARTHAGE,NY,13619,"25059 WOOLWORTH ST
CARTHAGE, NY 13619
(43.977957706000495, -75.61837829199965)"
230301,LEWIS,HARRISVILLE CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,33,22.9%,31,21.5%,64,44.4%,DISTRICT TOTAL,SCHOOL DISTRICT,14371 PIRATE LN,HARRISVILLE,NY,13648,"14371 PIRATE LN
HARRISVILLE, NY 13648
(44.159712726000464, -75.32079732999966)"
230301,LEWIS,HARRISVILLE CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,19,20.4%,25,26.9%,44,47.3%,ELEMENTARY,SCHOOL DISTRICT,14371 PIRATE LN,HARRISVILLE,NY,13648,"14371 PIRATE LN
HARRISVILLE, NY 13648
(44.159712726000464, -75.32079732999966)"
230301,LEWIS,HARRISVILLE CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,14,34.1%,,,14,34.1%,MIDDLE/HIGH,SCHOOL DISTRICT,14371 PIRATE LN,HARRISVILLE,NY,13648,"14371 PIRATE LN
HARRISVILLE, NY 13648
(44.159712726000464, -75.32079732999966)"
231101,LEWIS,SOUTH LEWIS CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,65,17.4%,102,27.3%,167,44.8%,DISTRICT TOTAL,SCHOOL DISTRICT,4264 EAST RD,TURIN,NY,13473,"4264 EAST RD
TURIN, NY 13473
(43.635175508000486, -75.39549845199963)"
231101,LEWIS,SOUTH LEWIS CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,39,18%,54,24.9%,93,42.9%,ELEMENTARY,SCHOOL DISTRICT,4264 EAST RD,TURIN,NY,13473,"4264 EAST RD
TURIN, NY 13473
(43.635175508000486, -75.39549845199963)"
231101,LEWIS,SOUTH LEWIS CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,26,16.8%,48,31%,74,47.7%,MIDDLE/HIGH,SCHOOL DISTRICT,4264 EAST RD,TURIN,NY,13473,"4264 EAST RD
TURIN, NY 13473
(43.635175508000486, -75.39549845199963)"
231301,LEWIS,BEAVER RIVER CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,46,18.2%,48,19%,94,37.2%,DISTRICT TOTAL,SCHOOL DISTRICT,9508 ARTZ RD,BEAVER FALLS,NY,13305,"9508 ARTZ RD
BEAVER FALLS, NY 13305
(43.88584793400048, -75.43022651799964)"
231301,LEWIS,BEAVER RIVER CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,32,19.6%,29,17.8%,61,37.4%,ELEMENTARY,SCHOOL DISTRICT,9508 ARTZ RD,BEAVER FALLS,NY,13305,"9508 ARTZ RD
BEAVER FALLS, NY 13305
(43.88584793400048, -75.43022651799964)"
231301,LEWIS,BEAVER RIVER CENTRAL SCHOOL,CENTRAL NEW YORK,2012-2013,14,15.6%,19,21.1%,33,36.7%,MIDDLE/HIGH,SCHOOL DISTRICT,9508 ARTZ RD,BEAVER FALLS,NY,13305,"9508 ARTZ RD
BEAVER FALLS, NY 13305
(43.88584793400048, -75.43022651799964)"
240401,LIVINGSTON,GENESEO CENTRAL SCHOOL,FINGER LAKES,2012-2013,60,19.9%,43,14.2%,103,34.1%,DISTRICT TOTAL,SCHOOL DISTRICT,4050 AVON RD,GENESEO,NY,14454,"4050 AVON RD
GENESEO, NY 14454
(42.8111994620005, -77.80532754399968)"
240401,LIVINGSTON,GENESEO CENTRAL SCHOOL,FINGER LAKES,2012-2013,35,20.7%,20,11.8%,55,32.5%,ELEMENTARY,SCHOOL DISTRICT,4050 AVON RD,GENESEO,NY,14454,"4050 AVON RD
GENESEO, NY 14454
(42.8111994620005, -77.80532754399968)"
240401,LIVINGSTON,GENESEO CENTRAL SCHOOL,FINGER LAKES,2012-2013,25,19.8%,23,18.3%,48,38.1%,MIDDLE/HIGH,SCHOOL DISTRICT,4050 AVON RD,GENESEO,NY,14454,"4050 AVON RD
GENESEO, NY 14454
(42.8111994620005, -77.80532754399968)"
